country_name,countryiso3code,date,population_growth,region_name,gdp_per_capita
Mali,MLI,2024,2.94115084753028,Sub-Saharan Africa ,1094.61949265799
Malta,MLT,2024,2.87111128593908,"Middle East, North Africa, Afghanistan & Pakistan",43898.5781808597
Marshall Islands,MHL,2024,-3.34957664335036,East Asia & Pacific,7726.33668877794
Mauritania,MRT,2024,2.88395898961435,Sub-Saharan Africa ,2110.12036938187
Mauritius,MUS,2024,-0.2299528038748,Sub-Saharan Africa ,11990.7798944837
Mexico,MEX,2024,0.860515443690537,Latin America & Caribbean ,14185.7812248529
"Micronesia, Fed. Sts.",FSM,2024,0.469463637376133,East Asia & Pacific,4166.00476748564
Moldova,MDA,2024,-2.28306147072637,Europe & Central Asia,7576.19589413326
Monaco,MCO,2024,-0.837774113919638,Europe & Central Asia,288001.433369041
Mongolia,MNG,2024,1.24590299529718,East Asia & Pacific,6750.6301157724
Montenegro,MNE,2024,-0.000641511915285095,Europe & Central Asia,13263.3281277699
Morocco,MAR,2024,0.972827595296714,"Middle East, North Africa, Afghanistan & Pakistan",4153.1943359375
Mozambique,MOZ,2024,2.91994049442347,Sub-Saharan Africa ,656.776824637306
Myanmar,MMR,2024,0.674364862610485,East Asia & Pacific,1359.05001560107
Namibia,NAM,2024,2.23715227334598,Sub-Saharan Africa ,4413.12752211572
Nauru,NRU,2024,0.604485091438176,East Asia & Pacific,13609.158837552
Nepal,NPL,2024,-0.146800968936231,South Asia,1447.31004458428
Netherlands,NLD,2024,0.648823280021657,Europe & Central Asia,67520.4218956281
New Caledonia,NCL,2024,0.95072208560765,East Asia & Pacific,29213.1923192946
New Zealand,NZL,2024,1.66869187850147,East Asia & Pacific,49205.1792146792
Nicaragua,NIC,2024,1.34687135560209,Latin America & Caribbean ,2847.53966339498
Niger,NER,2024,3.28101480132484,Sub-Saharan Africa ,735.270255787226
Nigeria,NGA,2024,2.08297776184189,Sub-Saharan Africa ,1084.16041805436
North Macedonia,MKD,2024,-0.189311904958652,Europe & Central Asia,9291.85661671864
Norway,NOR,2024,0.949855138372357,Europe & Central Asia,86785.4334489176
Oman,OMN,2024,4.49738628465102,"Middle East, North Africa, Afghanistan & Pakistan",20285.2272897377
Pakistan,PAK,2024,1.50959876314033,"Middle East, North Africa, Afghanistan & Pakistan",1478.77277977996
Panama,PAN,2024,1.26624987466078,Latin America & Caribbean ,19161.2188501596
